ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:04:07.752279700+00:00,antenna_alignment,241,4105.851,4187.034,3.000,0,50.000
2026-02-20T05:04:07.796134900+00:00,antenna_alignment,242,4137.911,4180.887,3.000,0,50.000
2026-02-20T05:04:07.852328700+00:00,antenna_alignment,243,4131.608,4187.066,3.000,0,50.000
2026-02-20T05:04:07.929909800+00:00,antenna_alignment,244,4137.904,4214.660,3.000,0,50.000
2026-02-20T05:04:08.022020200+00:00,antenna_alignment,245,4165.894,4256.775,3.000,0,50.000
2026-02-20T05:04:08.101578100+00:00,antenna_alignment,246,4207.304,4286.332,3.000,0,50.000
2026-02-20T05:04:08.179219+00:00,antenna_alignment,247,4237.371,4313.973,3.000,0,50.000
2026-02-20T05:04:08.232134100+00:00,antenna_alignment,248,4264.999,4316.882,3.000,0,50.000
2026-02-20T05:04:08.283970900+00:00,antenna_alignment,249,4267.880,4318.725,3.000,0,50.000
2026-02-20T05:04:08.340473200+00:00,antenna_alignment,250,4269.479,4325.227,3.000,0,50.000
2026-02-20T05:04:08.419385+00:00,antenna_alignment,251,4276.130,4354.140,3.000,0,50.000
2026-02-20T05:04:08.481895300+00:00,antenna_alignment,252,4304.636,4366.650,3.000,0,50.000
2026-02-20T05:04:08.547589300+00:00,antenna_alignment,253,4317.208,4382.343,3.000,0,50.000
2026-02-20T05:04:08.615373900+00:00,antenna_alignment,254,4333.164,4400.127,3.000,0,50.000
2026-02-20T05:04:08.673650300+00:00,antenna_alignment,255,4350.584,4408.404,3.000,0,50.000
2026-02-20T05:04:08.739566100+00:00,antenna_alignment,256,4358.804,4424.321,3.000,0,50.000
2026-02-20T05:04:08.801610600+00:00,antenna_alignment,257,4374.921,4436.364,3.000,0,50.000
2026-02-20T05:04:08.880103900+00:00,antenna_alignment,258,4386.811,4464.858,3.000,0,50.000
2026-02-20T05:04:08.950699500+00:00,antenna_alignment,259,4415.297,4485.455,3.000,0,50.000
2026-02-20T05:04:09.022507700+00:00,antenna_alignment,260,4436.005,4507.262,3.000,0,50.000
