ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:23:45.773423300+00:00,6231fbe7-0864-4cc2-b553-10925b4bd8c0,PowerControl,PowerManagement,3,false,0.067,true,true,true,0.000,12.084,ok
2026-03-21T11:23:45.873412500+00:00,a5156f73-31d4-4792-a193-324e1ba1e709,AttitudeControl,AttitudeControl,3,false,0.065,true,true,true,0.000,11.777,ok
2026-03-21T11:23:45.968055200+00:00,78e3eba1-70a6-4985-8e94-685556b1896d,AttitudeControl,AttitudeControl,3,false,0.226,true,true,true,0.000,5.676,ok
2026-03-21T11:23:46.065078300+00:00,a65c2521-803a-4ae6-a72a-532b4bcda703,AttitudeControl,AttitudeControl,3,false,0.131,true,true,true,0.000,2.848,ok
2026-03-21T11:23:50.620420100+00:00,316d7bf8-e96a-4715-ba2b-8b23ed1fb26f,AttitudeControl,AttitudeControl,1,true,0.102,true,true,true,0.000,0.616,ok
2026-03-21T11:23:55.270126400+00:00,5190f51d-062c-4f6b-aaa1-89f3d1e5d356,ThermalControl,ThermalManagement,3,false,0.084,true,true,true,0.000,2.034,ok
2026-03-21T11:23:55.271052300+00:00,21f2658a-62ca-4f31-b85e-487cf91e1315,Diagnostic,ThermalManagement,2,false,0.049,true,true,true,0.000,1.344,ok
2026-03-21T11:23:55.384376800+00:00,e07d67a1-e369-471c-8202-10fc6b376130,ThermalControl,ThermalManagement,3,false,0.083,true,true,true,0.000,15.925,ok
2026-03-21T11:23:55.469967300+00:00,3e8de689-e47d-47c9-88c6-1ab2b56728a7,ThermalControl,ThermalManagement,3,false,0.110,true,true,true,0.000,1.277,ok
2026-03-21T11:23:55.575827100+00:00,e237bc06-c804-4183-a5aa-722f2a3811f0,PowerControl,PowerManagement,3,false,0.097,true,true,true,0.000,7.016,ok
2026-03-21T11:23:55.628972600+00:00,1b93c04e-b7b4-44a1-b733-b1b9f2fe1328,Emergency,AllSystems,0,true,0.119,true,true,true,0.000,2.863,ok
2026-03-21T11:23:55.672964200+00:00,ab3ab2f5-539a-497e-abfa-7667b1caa00e,PowerControl,PowerManagement,3,false,0.092,true,true,true,0.000,3.893,ok
2026-03-21T11:23:55.772487500+00:00,0f7bf1bd-784c-4d53-928a-1d7ee2bae1e8,PowerControl,PowerManagement,3,false,0.100,true,true,true,0.000,3.191,ok
2026-03-21T11:23:55.773676600+00:00,6bb9a571-e45e-4cea-9495-596b1ce415f5,Diagnostic,PowerManagement,2,false,0.047,true,true,true,0.000,3.889,ok
2026-03-21T11:23:55.997703+00:00,881be8d6-afe8-443f-a51a-9b29cf9c424a,AttitudeControl,AttitudeControl,3,false,0.268,true,true,true,0.000,128.078,ok
2026-03-21T11:23:56.317340600+00:00,39ebd315-1018-4ac9-84ca-bde28d5bbe1d,AttitudeControl,AttitudeControl,3,false,0.092,true,true,true,0.000,347.820,ok
